,Count
AA,326
AB,28782
AC,50636
AD,65882
AE,2267
AF,12449
AG,30161
AH,2353
AI,61410
AJ,1164
AK,26150
AL,116515
AM,45393
AN,360468
AO,452
AP,24699
AQ,249
AR,153754
AS,142486
AT,202185
AU,19715
AV,43859
AW,14744
AX,1081
AY,53051
AZ,2034
A_,123290
BA,20138
BB,2199
BC,3
BD,204
BE,90288
BF,2
BG,12
BH,137
BI,11207
BJ,1837
BK,2
BL,33775
BM,226
BN,61
BO,36966
BP,2
BQ,0
BR,20773
BS,4372
BT,2452
BU,45359
BV,33
BW,41
BX,0
BY,23216
BZ,10
B_,3527
CA,57746
CB,291
CC,8227
CD,212
CE,82767
CF,23
CG,8
CH,79396
CI,24408
CJ,0
CK,25488
CL,18380
CM,20
CN,47
CO,91668
CP,2
CQ,944
CR,17725
CS,1072
CT,32808
CU,16833
CV,7
CW,28
CX,1
CY,3572
CZ,71
C_,8842
DA,24926
DB,98
DC,144
DD,6402
DE,95036
DF,789
DG,5065
DH,229
DI,56678
DJ,235
DK,160
DL,6736
DM,1950
DN,5908
DO,48219
DP,112
DQ,71
DR,16578
DS,21890
DT,244
DU,11379
DV,2475
DW,1382
DX,2
DY,11623
DZ,0
D_,520410
EA,123567
EB,3660
EC,41646
ED,151957
EE,72878
EF,21054
EG,12435
EH,3481
EI,29738
EJ,561
EK,3193
EL,84901
EM,51055
EN,203192
EO,8694
EP,21998
EQ,3434
ER,311388
ES,167531
ET,68846
EU,4066
EV,38617
EW,15591
EX,21156
EY,33838
EZ,534
E_,874913
FA,30089
FB,7
FC,7
FD,5
FE,34560
FF,19009
FG,7
FH,13
FI,34818
FJ,1
FK,1
FL,10672
FM,8
FN,30
FO,76778
FP,10
FQ,0
FR,31093
FS,749
FT,15034
FU,16201
FV,1
FW,9
FX,0
FY,1158
FZ,6
F_,164617
GA,21561
GB,306
GC,5
GD,440
GE,54138
GF,98
GG,4383
GH,48776
GI,19174
GJ,1
GK,12
GL,11641
GM,1291
GN,6693
GO,37178
GP,12
GQ,0
GR,28201
GS,10910
GT,1784
GU,10920
GV,2
GW,286
GX,0
GY,1011
GZ,11
G_,126376
HA,203812
HB,849
HC,56
HD,226
HE,509218
HF,601
HG,6
HH,67
HI,162481
HJ,3
HK,21
HL,1272
HM,1408
HN,1780
HO,95097
HP,49
HQ,93
HR,13453
HS,2746
HT,32601
HU,16702
HV,10
HW,366
HX,0
HY,12674
HZ,0
H_,127843
IA,22207
IB,8261
IC,61467
ID,47627
IE,49997
IF,32264
IG,40538
IH,276
II,3180
IJ,30
IK,10218
IL,70679
IM,58222
IN,332895
IO,58671
IP,11076
IQ,633
IR,53114
IS,170049
IT,189499
IU,4315
IV,31316
IW,57
IX,3570
IY,2
IZ,4116
I_,87692
JA,2598
JB,0
JC,0
JD,0
JE,5501
JF,0
JG,0
JH,2
JI,978
JJ,7
JK,0
JL,0
JM,0
JN,2
JO,7680
JP,3
JQ,0
JR,13
JS,0
JT,0
JU,10921
JV,0
